acc x,acc y,acc z
-0.329346,10.184906,-0.464737
0.986145,10.418366,-0.130829
1.714447,10.292328,0.087112
1.984177,9.916885,0.433212
2.205765,9.533386,1.011719
1.898178,9.106766,1.126999
0.99057,8.61441,0.424881
-0.049423,8.151947,-0.245575
-0.903671,7.91893,-0.931244
-1.204666,8.201187,-1.176285
-1.192825,9.064606,-1.439911
-0.954468,10.291779,-1.842514
-0.798813,11.165146,-2.350815
-0.92572,11.28331,-2.659332
-0.946457,10.67955,-2.455368
-0.747879,9.626984,-2.026382
-0.3582,9.013733,-1.552612
-0.124435,8.533813,-1.171402
0.137802,8.279419,-1.079758
-0.009781,8.288574,-1.429581
-0.399002,8.467972,-1.870575
-0.656998,8.918274,-2.386322
-0.77655,9.525162,-2.559067
-0.789856,10.173111,-2.361588
-0.648468,10.593658,-2.188263
-0.372498,10.616562,-1.93457
-0.111877,10.331192,-1.305176
0.414917,9.902634,-0.489746
0.925598,9.443985,-0.39241
1.173752,9.207672,-0.885239
1.248962,9.296417,-1.401581
0.999863,9.644302,-2.083588
0.592224,10.027328,-2.69664
0.182983,10.369431,-3.161011
-0.204849,10.481918,-3.28804
-0.302109,10.454651,-2.884293
-0.247208,10.341126,-2.150971
-0.21077,10.14299,-1.560989
-0.240799,10.000992,-1.277206
